1,1,25,6-May-2016,8,0
1,2,26,6-May-2016,8,0
1,3,27,6-May-2016,5,0
1,4,46,5-May-2016,9,0
1,5,28,6-May-2016,7,0
1,6,29,6-May-2016,7,0
1,7,1,26-Mar-2016,6,0
1,7,5,4-Apr-2016,2,9
1,7,8,10-Apr-2016,3,6
1,7,9,11-Apr-2016,4,1
1,7,11,14-Apr-2016,5,3
1,7,12,21-Apr-2016,4,7
1,7,13,23-Apr-2016,2,2
1,7,18,2-May-2016,4,9
1,7,31,7-May-2016,2,5
1,7,43,11-May-2016,5,4
1,8,3,26-Mar-2016,2,0
1,8,14,23-Apr-2016,1,28
1,8,37,10-May-2016,2,17
1,8,45,11-May-2016,2,1
1,9,2,26-Mar-2016,6,0
1,9,19,2-May-2016,3,37
1,9,24,5-May-2016,2,3
1,9,32,8-May-2016,3,3
1,9,34,9-May-2016,5,1
1,9,44,11-May-2016,2,2
1,10,33,8-May-2016,1,0
1,10,35,9-May-2016,2,1
1,10,38,10-May-2016,6,1
1,11,20,2-May-2016,3,0
1,11,39,10-May-2016,3,8
1,12,40,10-May-2016,1,0
1,13,4,2-Apr-2016,8,0
1,13,6,4-Apr-2016,8,2
1,13,7,6-Apr-2016,8,2
1,13,10,13-Apr-2016,7,7
1,13,16,25-Apr-2016,4,12
1,13,17,30-Apr-2016,10,5
1,13,21,2-May-2016,7,2
1,13,41,10-May-2016,9,8
1,14,30,6-May-2016,10,0
1,17,15,23-Apr-2016,4,0
1,17,22,2-May-2016,3,9
1,17,42,10-May-2016,3,8
1,18,23,4-May-2016,4,0
1,19,36,9-May-2016,2,0
